contentUrl	license
fig/support_your_data_rubric.png	The Support Your Data RDM rubric CC BY 4.0 by John A Borghi, Stephen Abrams, Daniella Lowenberg, Stephanie Simms, John Chodacki, https://creativecommons.org/licenses/by/4.0/
files/module-open-science-dm-practices.pdf	Presentation CC BY 4.0 by NBIS, https://creativecommons.org/licenses/by/4.0/ 
fig/OpenScienceBuildingBlocks.jpeg	“Open Science facets as a beehive” by Gema Bueno de la Fuente, https://creativecommons.org/licenses/by/4.0/
fig/arrayexpress_search.jpg	Screenshot by NBIS of the ArrayExpress Browse interface by EMBL-EBI, https://www.ebi.ac.uk/about/terms-of-use/
